Event Code,Short Description,Full Description
20195,System state from last shutdown is lost,"Internal system file containing system persistent state was not found. Under normal circumstances, the system state is automatically stored to controller persistent memory during shutdown or restart. The system has been started using auto-recovery system data saved earlier at arg . Consequences Any changes made in system configuration or RAPID programs since arg are lost and will have to be re-implemented. Probable causes The backup energy bank may have been drained at the time of the shutdown. The internal storage disk may be full. Software problem during shutdown. Recommended actions • Check other event messages to help determine the actual cause. • If acceptable, acknowledge the auto-recovered system data. • Reset the system and load user backup. • Reinstall the system and load user backup. • Report the problem to ABB support and attach system diagnostics data."
20196,Module saved,During reconfiguration of the system a changed and not saved module was found. The module was saved to arg . Recommended actions
20271,Text files are no longer supported.,The file arg is of old text format that is no longer supported./> Recommended actions Convert the file to XML-format.
20280,Symbol conflict,The signal arg defined in the IO configuration conflict with another program symbol with the same name. Due on that fact the signal will not be mapped to a program variable. Recommended actions Rename the signal in the IO configuration.
20282,Resource and index exist,Resource arg . Index arg . Recommended actions
20283,Text database is full.,Resource arg . Index arg . Recommended actions
20284,Wrong Signal Type For System Input,The System Input arg is configured with an I/O-signal of wrong type. The I/O-signal arg is of type arg and this System Input requires an I/O-signal of type arg . Recommended actions Change the configuration for the specified System Input. Continues on next page 50 Technical reference manual - Event logs for RobotWare 7 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 3 Number series: 2 xxxx Continued
20285,Wrong Signal Type For System Output,The System Output arg is configured with an I/O-signal of wrong type. The I/O-signal arg is of type arg and this System Output requires an I/O-signal of type arg . Recommended actions Change the configuration for the specified System Output.
20286,Not Unique I/O-Signal For System Output,Each System Output must have a unique I/O-signal configured. It is not possible to configure same I/O-signal to several System Outputs. System Output: arg . Signal Name: arg . Recommended actions
20287,Not Unique I/O-signal For System Input,Each System Input must have a unique I/O-signal configured. It is not possible to configure same I/O-signal to several System Inputs. System Input: arg . Signal Name: arg .
